Database initialized successfully
(node:24064) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-19T06:47:16.792Z] GET /api/v1/alerts
[2026-05-19T06:47:17.908Z] POST /api/v1/auth/login
[2026-05-19T06:47:18.153Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:18.155Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:18.834Z] POST /api/v1/auth/login
[2026-05-19T06:47:19.370Z] GET /api/v1/alerts
[2026-05-19T06:47:19.373Z] GET /api/v1/alerts
[2026-05-19T06:47:20.856Z] POST /api/v1/auth/login
[2026-05-19T06:47:21.573Z] GET /api/v1/alerts
[2026-05-19T06:47:21.577Z] GET /api/v1/alerts
[2026-05-19T06:47:22.381Z] POST /api/v1/auth/login
[2026-05-19T06:47:22.628Z] GET /api/v1/alerts
[2026-05-19T06:47:22.639Z] POST /api/v1/auth/login
[2026-05-19T06:47:22.921Z] GET /api/v1/alerts
[2026-05-19T06:47:22.930Z] POST /api/v1/auth/login
[2026-05-19T06:47:23.185Z] GET /api/v1/alerts
[2026-05-19T06:47:23.194Z] POST /api/v1/auth/login
[2026-05-19T06:47:23.491Z] GET /api/v1/alerts
[2026-05-19T06:47:24.072Z] POST /api/v1/auth/login
[2026-05-19T06:47:24.740Z] GET /api/v1/alerts
[2026-05-19T06:47:24.742Z] GET /api/v1/alerts
[2026-05-19T06:47:25.122Z] GET /api/v1/alerts
[2026-05-19T06:47:25.124Z] GET /api/v1/alerts
[2026-05-19T06:47:25.558Z] GET /api/v1/alerts
[2026-05-19T06:47:25.561Z] GET /api/v1/alerts
[2026-05-19T06:47:26.502Z] POST /api/v1/auth/login
[2026-05-19T06:47:27.082Z] GET /api/v1/alerts
[2026-05-19T06:47:27.084Z] GET /api/v1/alerts
[2026-05-19T06:47:27.546Z] POST /api/v1/auth/login
[2026-05-19T06:47:27.938Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:28.112Z] GET /api/v1/alerts
[2026-05-19T06:47:28.114Z] GET /api/v1/alerts
[2026-05-19T06:47:28.611Z] POST /api/v1/auth/login
[2026-05-19T06:47:28.945Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:28.948Z] GET /api/v1/inbound
[2026-05-19T06:47:28.948Z] GET /api/v1/outbound
[2026-05-19T06:47:28.951Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:28.953Z] GET /api/v1/inbound
[2026-05-19T06:47:29.115Z] GET /api/v1/alerts
[2026-05-19T06:47:29.118Z] GET /api/v1/alerts
[2026-05-19T06:47:29.592Z] POST /api/v1/auth/login
[2026-05-19T06:47:29.998Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:30.004Z] GET /api/v1/inbound
[2026-05-19T06:47:30.005Z] GET /api/v1/outbound
[2026-05-19T06:47:30.008Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:30.011Z] GET /api/v1/inbound
[2026-05-19T06:47:30.214Z] GET /api/v1/alerts
[2026-05-19T06:47:30.218Z] GET /api/v1/alerts
[2026-05-19T06:47:30.795Z] POST /api/v1/auth/login
[2026-05-19T06:47:31.201Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:31.205Z] GET /api/v1/inbound
[2026-05-19T06:47:31.206Z] GET /api/v1/outbound
[2026-05-19T06:47:31.208Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:31.392Z] GET /api/v1/alerts
[2026-05-19T06:47:31.395Z] GET /api/v1/alerts
[2026-05-19T06:47:31.950Z] POST /api/v1/auth/login
[2026-05-19T06:47:32.362Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:32.363Z] GET /api/v1/inbound
[2026-05-19T06:47:32.364Z] GET /api/v1/outbound
[2026-05-19T06:47:32.365Z] GET /api/v1/inventory/stats
[2026-05-19T06:47:32.366Z] GET /api/v1/inbound
[2026-05-19T06:47:32.367Z] GET /api/v1/outbound
[2026-05-19T06:47:32.547Z] GET /api/v1/alerts
[2026-05-19T06:47:32.550Z] GET /api/v1/alerts
[2026-05-19T06:47:32.942Z] POST /api/v1/auth/login
[2026-05-19T06:47:33.258Z] POST /api/v1/auth/login
[2026-05-19T06:47:33.527Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:33.529Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:33.538Z] POST /api/v1/auth/login
[2026-05-19T06:47:33.822Z] POST /api/v1/auth/login
[2026-05-19T06:47:34.099Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:34.101Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:34.110Z] POST /api/v1/auth/login
[2026-05-19T06:47:34.393Z] POST /api/v1/auth/login
[2026-05-19T06:47:34.677Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:34.679Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:34.689Z] POST /api/v1/auth/login
[2026-05-19T06:47:34.948Z] POST /api/v1/auth/login
[2026-05-19T06:47:35.382Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:35.385Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:35.399Z] POST /api/v1/auth/login
[2026-05-19T06:47:35.754Z] POST /api/v1/auth/login
[2026-05-19T06:47:36.041Z] GET /api/v1/alerts/rules
